,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
Situation Hierarchical,0,2684.135913066711,116.65083874006223,0.0,0.9999999981545402,33.46645804240305,0.0,False,negative_log
Situation,1,2724.356987736678,5.644717182110526,40.221074669966825,1.845459873046218e-09,32.29684731828538,9.088415439159345,False,negative_log
independent_situation_participant_hp,2,2793.025079354343,323.2863130528626,108.88916628763151,2.2647380163983744e-24,34.37724156688584,14.494635781722916,True,negative_log
mean_model,3,2797.2700918495348,0.9471014829323394,113.13417878282388,2.7115974647068913e-25,31.440250625883426,14.312522183657274,False,negative_log
Subject Hierarchical,4,2798.7979576208672,20.97038970802805,114.66204455415594,1.263145509213825e-25,30.76543030910827,14.111783999142455,False,negative_log
General,5,2799.032425589575,3.2219298122436157,114.89651252286416,1.1234126500690755e-25,30.795832910081245,14.336557307210605,False,negative_log
participant_model_hp,6,2923.020122279634,168.45838899308728,238.88420921292263,1.3395319037618815e-52,30.637853327823294,15.524771204083521,True,negative_log
