,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
situation_subj_model_scr,0,2986.05740967774,115.837025034416,0.0,0.9999999919180468,36.404005538109985,0.0,False,negative_log
situation_model_scr,1,3023.324674172409,6.351043070138076,37.26726449466885,8.081953244744893e-09,35.418887757437666,8.71093457814671,False,negative_log
subj_hierarchical_model_scr,2,3095.105491007906,36.19748270978744,109.04808133016618,2.0917510929364812e-24,33.64375675282864,14.785057003955457,True,negative_log
flat_model_scr,3,3102.1418700158,3.576675122320921,116.08446033806027,6.202684862990747e-26,33.474076325818565,14.886614621936204,False,negative_log
mean_model,4,3105.5896080672696,1.1211550180732957,119.53219838953007,1.1064018959616241e-26,34.43017371039204,15.439568068259682,False,negative_log
independent_situation_participant_scr,5,3114.6713662252523,341.45792802294136,128.6139565475123,1.1798700697046428e-28,36.89268524861026,15.21728247524225,True,negative_log
participant_model_scr,6,3216.862337077314,173.0572859439194,230.80492739957407,7.60933691596803e-51,34.153414562748104,17.040355124367863,True,negative_log
