,video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,participant_num,video_hp,video_scr,base_ECG,base_scr,trial_num,Unnamed: 26
2360,heights_low_5.m4v,1,1,1,1216.298,1219.299,0.866,3.204,0.719,1.235,1232.483,1252.475,0.034,0.052,0.146,1,2.92,1.936,2.086,1.001,184,,0,0.723,0.01,23,
2361,heights_low_2.m4v,1,1,1,1269.907,1272.908,0.672,4.722,0.436,1.619,1287.994,1307.986,0,0,0,1,1.886,0.885,1.352,0.734,184,0.664,0,0.723,0.01,24,
2362,heights_low_6.m4v,1,1,2,1398.717,1401.717,0.697,2.67,0.481,2.052,1415.185,1433.175,0.175,0.034,0.181,0.816,1.752,1.035,1.352,1.035,184,0.602,0.143,0.723,0.01,25,
2363,heights_low_1.m4v,1,1,1,1447.838,1450.838,0.813,1.168,0.456,4.188,1464.941,1485.933,0,0,0,1,2.536,0.601,0.701,0.634,184,,0,0.723,0.01,26,
2364,heights_high_1.m4v,1,2,1,1499.896,1502.896,0.816,1.102,0.491,1.802,1514.545,1534.954,1,0.871,0.607,0.304,2.503,1.068,1.952,1.135,184,,0.106,0.723,0.01,27,
2365,spider_high_5.m4v,3,2,2,1551.103,1554.103,0.646,4.338,0.547,6.341,1568.522,1589.012,1,1,0.712,0.173,1.168,0.684,1.418,1.018,184,,0,0.723,0.01,28,
2366,spider_high_1.mov,3,2,1,1602.793,1605.794,0.729,2.553,0.464,1.785,1613.872,1633.878,0.746,0.648,0.564,0.281,1.869,1.168,4.038,1.085,184,0.76,0,0.723,0.01,29,
2367,spider_low_3.m4v,3,1,1,1651.531,1654.531,0.67,9.327,0.557,1.285,1670.885,1691.562,0.364,0.164,0.653,0.406,2.253,1.068,2.403,3.754,184,0.774,0,0.723,0.01,30,
2368,social_high_2.mov,2,2,2,1710.529,1713.529,0.282,2.787,0.478,2.153,1723.21,1744.184,0.744,0.687,0.264,0.116,2.336,2.052,2.253,1.619,184,0.808,0,0.723,0.01,31,
2369,social_low_1.m4v,2,1,1,1761.936,1764.937,0.3,3.521,0.442,3.337,1775.535,1796.344,0.034,0.082,0.275,1,2.503,0.968,2.987,1.552,184,,0,0.723,0.01,32,
2370,spider_low_1.m4v,3,1,2,1813.844,1816.844,0.623,3.504,0.195,1.569,1826.658,1846.882,0.358,0.205,0.5,0.5,1.535,2.319,2.086,1.852,184,,0.108,0.723,0.01,33,
2371,heights_high_6.mov,1,2,2,1864.166,1867.167,0.69,1.469,0.35,0.668,1878.048,1898.555,1,1,1,0,3.087,0.668,0.968,0.818,184,0.821,0,0.723,0.01,34,
2372,social_high_3.mov,2,2,2,1913.588,1916.588,0.568,6.291,0.335,1.469,1928.087,1948.46,0.672,0.235,0.428,0.249,1.452,1.485,1.969,2.436,184,,0,0.723,0.01,35,
2373,social_low_2.mov,2,1,1,1965.295,1968.295,0.354,3.538,0.25,1.235,1978.81,2000.154,0.635,0.663,0.385,0.186,2.219,1.085,2.47,1.886,184,,0.097,0.723,0.01,36,
2374,spider_high_1.mov,3,2,2,10.078,13.104,1,2.754,0.559,4.288,23.944,43.95,1,1,0.903,0,3.171,0.901,2.003,1.135,185,0.56,0.111,0.773,0.017,1,
2375,spider_low_4.m4v,3,1,1,60.684,63.685,1,7.942,0.596,4.572,79.956,100.465,0.725,0.697,0.722,0.137,7.308,1.936,2.169,1.635,185,0.788,0.105,0.773,0.017,2,
2376,spider_low_5.mov,3,1,1,123.02,126.021,1,1.702,0.428,2.486,134.95,155.29,1,0.904,0.824,0.054,2.87,3.087,3.838,1.301,185,0.766,0,0.773,0.017,3,
2377,heights_low_6.m4v,1,1,2,175.878,178.879,0.602,2.469,0.356,1.485,191.579,209.586,0.394,0.348,0.413,0.646,4.922,1.352,3.838,1.669,185,0.772,0,0.773,0.017,4,
2378,heights_low_3.mov,1,1,1,230.873,233.875,0.409,4.856,0.206,3.354,250.829,269.334,0.106,0.089,0.063,0.932,3.187,1.435,1.936,4.088,185,0.842,0.133,0.773,0.017,5,
2379,social_high_1.mov,2,2,2,289.488,292.488,0.58,2.386,0.086,2.136,302.753,322.844,0.074,0.093,0.667,0.485,2.286,1.802,1.786,4.572,185,0.905,0,0.773,0.017,6,
2380,social_low_5.m4v,2,1,1,342.78,345.78,0.396,2.537,0.058,1.769,353.826,373.818,0.04,0.039,0.566,1,3.07,1.735,2.703,10.312,185,0.839,0,0.773,0.017,7,
2381,heights_high_3.m4v,1,2,2,401.128,404.128,0.547,4.488,0.026,1.585,418.948,439.574,0.689,0.677,0.798,0.365,1.919,1.285,2.253,2.453,185,0.898,0,0.773,0.017,8,
2382,heights_high_1.m4v,1,2,1,456.973,459.974,0.591,2.72,0.079,2.42,473.859,494.267,0.708,0.722,0.729,0.3,2.353,1.502,1.485,1.318,185,0.891,0,0.773,0.017,9,
2383,spider_high_6.mov,3,2,2,510.416,513.418,1,1.836,0.22,2.102,523.097,542.736,1,1,0.952,0,1.669,0.718,1.302,1.619,185,,0.116,0.773,0.017,10,
2384,social_low_6.m4v,2,1,2,557.535,560.535,0.437,2.954,0.34,2.803,570.032,589.457,0.288,0.209,0.547,0.623,2.453,1.702,3.337,2.987,185,0.857,0,0.773,0.017,11,
2385,social_high_4_replacement.mov,2,2,1,609.426,612.426,0.544,7.508,0.15,1.852,626.528,646.834,0.557,0.789,0.69,0.183,2.336,1.001,1.518,1.368,185,0.892,0,0.773,0.017,12,
2386,social_low_2.mov,2,1,2,735.782,738.783,0.587,3.221,0.078,1.936,747.679,769.006,0.339,0.627,0.611,0.451,3.254,1.919,1.552,3.304,185,0.879,0,0.773,0.017,13,
2387,social_high_3.mov,2,2,1,788.524,791.524,0.567,3.721,0.075,2.119,802.106,822.495,0.559,0.753,0.8,0.214,2.253,2.086,2.636,2.102,185,0.857,0,0.773,0.017,14,
2388,social_low_1.m4v,2,1,1,841.066,844.066,0.548,2.069,0.116,3.938,853.813,874.639,0.102,0.072,0.607,0.955,1.919,1.502,1.201,3.988,185,0.797,0,0.773,0.017,15,
2389,spider_low_2.mov,3,1,2,892.74,895.74,1,2.72,0.297,1.418,904.619,925.159,0.951,0.937,0.952,0,23.777,1.252,1.302,0.968,185,,0,0.773,0.017,16,
2390,social_high_5.m4v,2,2,2,961.95,964.95,0.379,6.758,0.593,2.069,979.519,999.511,0.578,0.777,0.697,0.331,2.103,0.684,3.337,1.769,185,0.844,0,0.773,0.017,17,
2391,heights_low_5.m4v,1,1,2,1016.911,1019.911,0.339,8.293,0.219,12.514,1049.463,1069.454,0.387,0.061,0.429,0.837,2.954,2.77,1.685,3.554,185,0.843,0,0.773,0.017,18,
